0,00000002,1,00000000,1,00000018,-1
1,0000000C,1,0000000C,-1,0000000C,-1
2,00000008,-1,0000000C,1,0000000C,-1
3,00000002,1,00000000,1,00000000,1
4,0000000C,1,0000000C,-1,00000024,-1
5,00000016,1,00000018,-1,00000018,-1
6,00000002,1,00000000,1,00000018,-1
7,0000000C,1,0000000C,-1,0000000C,-1
8,00000008,-1,0000000C,1,0000000C,-1
9,00000002,1,00000000,1,00000000,1
10,00000012,-1,00000018,1,00000000,1
11,00000008,-1,0000000C,1,0000000C,1
12,00000002,1,00000000,1,00000018,-1
13,0000000C,1,0000000C,-1,0000000C,-1
14,00000008,-1,0000000C,1,0000000C,-1
15,00000002,1,00000000,1,00000000,1
16,0000000C,1,0000000C,-1,0000000C,-1
17,00000016,1,00000018,-1,00000000,1
18,00000002,1,00000000,1,00000000,1
19,0000000C,1,0000000C,-1,0000000C,1
20,00000016,1,00000018,-1,00000018,-1
21,00000020,1,00000024,-1,0000000C,-1
22,0000000C,1,0000000C,-1,0000000C,-1
23,00000016,1,00000018,-1,00000000,1
24,00000002,1,00000000,1,00000000,1
25,0000000C,1,0000000C,-1,0000000C,1
26,00000008,-1,0000000C,1,0000000C,1
27,00000002,1,00000000,1,00000018,1
28,0000000C,1,0000000C,-1,0000000C,-1
29,00000016,1,00000018,-1,00000000,1
30,00000002,1,00000000,1,00000000,1
31,0000000C,1,0000000C,-1,0000000C,1
32,0000000C,-1,0000000C,1,0000000C,-1
33,00000002,-1,00000000,1,00000000,1
34,00000016,-1,00000018,1,00000000,1
35,0000000C,-1,0000000C,1,0000000C,1
36,00000002,-1,00000000,1,00000018,-1
37,00000008,1,0000000C,-1,0000000C,-1
38,0000000C,-1,0000000C,1,0000000C,-1
39,00000002,-1,00000000,1,00000000,1
40,00000016,-1,00000018,1,00000000,1
41,0000000C,-1,0000000C,1,0000000C,1
42,00000020,-1,00000024,1,0000000C,1
43,00000016,-1,00000018,1,00000018,1
44,0000000C,-1,0000000C,1,0000000C,-1
45,00000002,-1,00000000,1,00000000,1
46,00000016,-1,00000018,1,00000000,1
47,0000000C,-1,0000000C,1,0000000C,1
48,00000002,-1,00000000,1,00000000,1
49,00000008,1,0000000C,-1,0000000C,1
50,0000000C,-1,0000000C,1,0000000C,1
51,00000002,-1,00000000,1,00000018,1
52,00000008,1,0000000C,-1,0000000C,-1
53,00000012,1,00000018,-1,00000000,1
54,00000002,-1,00000000,1,00000000,1
55,00000008,1,0000000C,-1,0000000C,1
56,0000000C,-1,0000000C,1,0000000C,1
57,00000002,-1,00000000,1,00000018,1
58,00000016,-1,00000018,1,00000018,1
59,0000000C,-1,0000000C,1,00000024,1
60,00000002,-1,00000000,1,00000000,1
61,00000008,1,0000000C,-1,0000000C,1
62,0000000C,-1,0000000C,1,0000000C,1
63,00000002,-1,00000000,1,00000018,1
